category,type,name,url,url_img,price,stock,manufacturer,flush,spec,housing,connection,size,material,IP,output_structure,voltage,output_type,adjust,distance,indicator,temperature
Индуктивные датчики,Индуктивный датчик,ISB A2B-32PS-2-Z-H-V,https://teko-com.ru/product/isb-a2b-32ps-2-z-h-v.html,/static/main/img/ind_TEKO/ISB_20A2A-228x228.jpg,3430,По запросу,TEKO,Встраиваемый,В условиях повышенной вибрации ,Цилиндрический с резьбой,Кабель,∅12,Латунь,IP 67,PNP,10-30 [DC],NC,Нет,2.0,Нет,-15...+105
Индуктивные датчики,Индуктивный датчик,ISB A2B-32P-4-LZ,https://teko-com.ru/product/isb-a2b-32p-4-lz.html,/static/main/img/ind_TEKO/ISB_20A2B-228x228.jpg,1630,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅12,Латунь,IP 67,PNP,10-30 [DC],NC,Нет,4.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A2B-32N-2-LZ,https://teko-com.ru/product/isb-a2b-32n-2-lz.html,/static/main/img/ind_TEKO/ISB_20A2B-228x228.jpg,1360,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅12,Латунь,IP 67,NPN,10-30 [DC],NC,Нет,2.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A2B-31P-2-LZ,https://teko-com.ru/product/isb-a2b-31p-2-lz.html,/static/main/img/ind_TEKO/ISB_20A2B-228x228.jpg,1360,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅12,Латунь,IP 67,PNP,10-30 [DC],NO,Нет,2.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A2B-31N-4-LZ,https://teko-com.ru/product/isb-a2b-31n-4-lz.html,/static/main/img/ind_TEKO/ISB_20A2B-228x228.jpg,1630,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅12,Латунь,IP 67,NPN,10-30 [DC],NO,Нет,4.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A2B-31N-2-LZ,https://teko-com.ru/product/isb%20a2b-31n-2-lz.html,/static/main/img/ind_TEKO/ISB_20A2A-228x228.jpg,1510,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅12,Латунь,IP 67,NPN,10-30 [DC],NO,Нет,2.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A2A-43P-4-LZ,https://teko-com.ru/product/isb-a2a-43p-4-lz.html,/static/main/img/ind_TEKO/ISB_20A2A-228x228.jpg,1630,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅12,Алюминий,IP 67,PNP,10-30 [DC],NO и NC,Нет,4.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A2A-43P-2G-L,https://teko-com.ru/product/isb-a2a-43p-2g-l.html,/static/main/img/ind_TEKO/ISB_20A2A-228x228.jpg,1700,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅12,Алюминий,IP 67,PNP,10-30 [DC],NO и NC,Нет,2.0,Нет,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A2A-43P-2F-L,https://teko-com.ru/product/isb-a2a-43p-2f-l.html,/static/main/img/ind_TEKO/ISB_20A2A-228x228.jpg,1700,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅12,Алюминий,IP 67,PNP,10-30 [DC],NO и NC,Нет,2.0,Нет,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A2A-43P-2-LZ-C,https://teko-com.ru/product/isb-a2a-43p-2-lz-c.html,/static/main/img/ind_TEKO/ISB_20A2A-228x228.jpg,2200,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅12,Алюминий,IP 67,PNP,10-30 [DC],NO и NC,Нет,2.0,Есть,-45...+65
Индуктивные датчики,Индуктивный датчик,ISB A2A-43P-2-LZ,https://teko-com.ru/product/isb-a2a-43p-2-lz.html,/static/main/img/ind_TEKO/ISB_20A2A-228x228.jpg,1380,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅12,Алюминий,IP 67,PNP,10-30 [DC],NO и NC,Нет,2.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A2A-43P-2-L,https://teko-com.ru/product/isb-a2a-43p-2-l.html,/static/main/img/ind_TEKO/ISB_20A2A-228x228.jpg,1420,По запросу,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅12,Алюминий,IP 67,PNP,10-30 [DC],NO и NC,Нет,2.0,Нет,-15...+65
